Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,29797,704,2.36%,-,-,72,34,10.23%,4.83%,25013.34,52969.43,73,34,15641000,10968000,1800961,8.68,6.09,11.51%,16.42%,-,-,-,1376334,7469000
2,Sản phẩm lẻ,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/06/2026 00:00,Không giới hạn,9044,256,2.83%,-,-,21,13,8.20%,5.08%,47619.05,76923.08,21,13,4338000,4071000,1000000,4.34,4.07,23.05%,24.56%,-,-,-,529495,2798000
3,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,34265,700,2.04%,101,14.43%,74,39,10.57%,5.57%,55035.44,104426.22,78,42,17608000,16548000,4072623,4.32,4.06,23.13%,24.61%,-,-,-,1747511,8668000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,3533,109,3.09%,15,13.76%,13,8,11.93%,7.34%,38461.54,62500,13,8,1600000,1600000,500000,3.2,3.2,31.25%,31.25%,-,-,-,82124,400000
5,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,3297,104,3.15%,23,22.12%,24,13,23.08%,12.50%,20833.33,38461.54,25,14,2870000,2870000,500000,5.74,5.74,17.42%,17.42%,-,-,-,304482,1430000
