Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,21949,579,2.64%,-,-,50,18,8.64%,3.11%,26502.69,73618.59,51,18,8592830,6307228,1325135,6.48,4.76,15.42%,21.01%,-,-,-,772129,3695000
2,Sản phẩm lẻ,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/06/2026 00:00,Không giới hạn,11762,365,3.10%,-,-,25,11,6.85%,3.01%,40000,90909.09,25,11,4567700,3903809,1000000,4.57,3.9,21.89%,25.62%,-,-,-,655271,3405000
3,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,22038,521,2.36%,64,12.28%,56,30,10.75%,5.76%,49116.87,91684.82,56,30,12371770,11702792,2750545,4.5,4.25,22.23%,23.50%,-,-,-,1124092,5340000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,8450,197,2.33%,25,12.69%,30,12,15.23%,6.09%,33333.33,83333.33,32,14,4751850,2795100,1000000,4.75,2.8,21.04%,35.78%,-,-,-,211602,805000
5,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,8227,220,2.67%,23,10.45%,34,17,15.45%,7.73%,29986.97,59973.95,38,21,4517150,4265400,1019557,4.43,4.18,22.57%,23.90%,-,-,-,632402,2855000
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đã xóa,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00,Không giới hạn,2,0,0.00%,0,-,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,-,-,-,0,0
7,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đã xóa,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00,Không giới hạn,1,0,0.00%,0,-,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,-,-,-,0,0
