Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,28062,932,3.32%,69,24,7.40%,2.58%,20089.36,57756.9,71,24,9085180,6735085,1386166,6.55,4.86,15.26%,20.58%,-,-,-,505880,3006380
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,10621,252,2.37%,38,23,15.08%,9.13%,29101.71,48081.09,39,23,8045358,7672358,1105865,7.28,6.94,13.75%,14.41%,-,-,-,203054,1020000
3,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,6138,142,2.31%,26,17,18.31%,11.97%,25434.38,38899.63,29,20,3772295,3772295,661294,5.7,5.7,17.53%,17.53%,-,-,-,28948,388000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,4813,137,2.85%,24,13,17.52%,9.49%,18688.13,34501.17,24,13,2800015,2463015,448515,6.24,5.49,16.02%,18.21%,-,-,-,130260,582000
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00,Không giới hạn,2176,45,2.07%,6,5,13.33%,11.11%,38306.64,45967.97,6,5,1395832,1395832,229840,6.07,6.07,16.47%,16.47%,-,-,-,0,0
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00,Không giới hạn,617,17,2.76%,0,0,0.00%,0.00%,0,0,0,0,0,0,31754,0,0,0.00%,0.00%,-,-,-,0,0
7,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00,Không giới hạn,1773,98,5.53%,8,6,8.16%,6.12%,44296.75,59062.33,8,6,1703360,1703360,354374,4.81,4.81,20.80%,20.80%,7606,19,0.25%,0,0
