Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,15933,491,3.08%,-,-,44,11,8.96%,2.24%,18333.4,73333.6,45,11,6913362,3386786,806670,8.57,4.2,11.67%,23.82%,-,-,-,428581,2390000
2,Sản phẩm lẻ,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/06/2026 00:00,Không giới hạn,14093,420,2.98%,-,-,26,12,6.19%,2.86%,36004.66,78010.1,27,13,4478000,3788000,936121,4.78,4.05,20.90%,24.71%,-,-,-,259074,1070000
3,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,18421,394,2.14%,73,18.53%,45,26,11.42%,6.60%,51301.2,88790.54,49,30,11765000,11765000,2308554,5.1,5.1,19.62%,19.62%,-,-,-,727238,3600000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,6667,156,2.34%,18,11.54%,17,7,10.90%,4.49%,29411.76,71428.57,17,7,2231400,1449900,500000,4.46,2.9,22.41%,34.49%,-,-,-,156028,630000
5,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,3369,86,2.55%,10,11.63%,17,9,19.77%,10.47%,29411.76,55555.56,17,9,2235738,1850738,500000,4.47,3.7,22.36%,27.02%,-,-,-,132663,630000
