Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,15207,402,2.64%,-,-,33,9,8.21%,2.24%,24873.23,91201.85,33,9,5403200,2888000,820817,6.58,3.52,15.19%,28.42%,-,-,-,557037,2530000
2,Sản phẩm lẻ,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/06/2026 00:00,Không giới hạn,10324,273,2.64%,-,-,20,9,7.33%,3.30%,41509.76,92243.9,20,9,3028262,2758262,830195,3.65,3.32,27.41%,30.10%,-,-,-,510454,2320000
3,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,16106,261,1.62%,37,14.18%,34,15,13.03%,5.75%,43770.21,99212.48,34,15,7537663,5875326,1488187,5.06,3.95,19.74%,25.33%,-,-,-,470833,2000000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,9297,219,2.36%,29,13.24%,27,15,12.33%,6.85%,37127.67,66829.81,27,15,3546938,3086738,1002447,3.54,3.08,28.26%,32.48%,-,-,-,208959,840000
5,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,7060,185,2.62%,18,9.73%,29,16,15.68%,8.65%,25994.27,47114.62,30,17,3512037,3512037,753834,4.66,4.66,21.46%,21.46%,-,-,-,302273,1470000
6,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đã xóa,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00,Không giới hạn,1703,26,1.53%,2,7.69%,3,2,11.54%,7.69%,65137.27,97705.91,3,2,660000,660000,195412,3.38,3.38,29.61%,29.61%,-,-,-,74336,330000
7,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đã xóa,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00,Không giới hạn,1264,26,2.06%,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,115875,0,0,0.00%,0.00%,-,-,-,0,0
