Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00:00,Không giới hạn,13778,432,3.14%,37,17,8.56%,3.94%,15074.61,32809.45,39,19,4582300,4244209,557761,8.22,7.61,12.17%,13.14%,-,-,-,444501,1813945
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,11837,300,2.53%,52,30,17.33%,10.00%,29339.86,50855.75,57,35,11940902,11351152,1525673,7.83,7.44,12.78%,13.44%,-,-,-,568231,2335600
3,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,5596,149,2.66%,31,14,20.81%,9.40%,18494.35,40951.78,35,17,3573546,2956546,573325,6.23,5.16,16.04%,19.39%,-,-,-,119365,582300
4,Sữa Tắm 4 in 1 Nam 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00:00,Không giới hạn,4689,84,1.79%,19,11,22.62%,13.10%,15625.28,26989.12,20,12,2081419,2081419,296880,7.01,7.01,14.26%,14.26%,-,-,-,45607,179100
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00:00,Không giới hạn,1272,48,3.77%,4,2,8.33%,4.17%,31349.61,62699.22,4,2,523260,523260,125398,4.17,4.17,23.96%,23.96%,-,-,-,0,0
6,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,29680365284,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,6251,162,2.59%,25,14,15.43%,8.64%,26101.37,46609.59,27,16,3776892,3515262,652534,5.79,5.39,17.28%,18.56%,-,-,-,207301,896400
7,Gel Tắm Hữu Cơ BIO 98% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28980146591,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,1221,29,2.38%,7,2,24.14%,6.90%,10429.52,36503.31,7,2,443121,443121,73007,6.07,6.07,16.48%,16.48%,-,-,-,109358,443121
8,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 300ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28830365069,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,1138,42,3.69%,5,3,11.90%,7.14%,40000.00,66666.67,6,4,1406400,1406400,200000,7.03,7.03,14.22%,14.22%,-,-,-,87623,718200
9,Sữa Tắm Dưỡng Ẩm 98% Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương Thơm 400ml [3],Đã dừng,Dịch vụ Hiển thị Sản phẩm,27730151664,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,879,18,2.05%,2,2,11.11%,11.11%,39862.27,39862.27,2,2,552850,552850,79725,6.93,6.93,14.42%,14.42%,-,-,-,33992,291600
10,Sữa Tắm Thơm Lâu 92% Thiên Nhiên Le Petit Marseillais Dịu Nhẹ Đào Trắng Hữu Cơ Và Xuân Đào Hữu Cơ 250ml 1240,Đã dừng,Dịch vụ Hiển thị Sản phẩm,26278578077,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,02/06/2025 00:00:00,04/05/2026 14:06:41,813,13,1.60%,4,1,30.77%,7.69%,16389.75,65559.01,4,1,492700,171100,65559,7.52,2.61,13.31%,38.32%,-,-,-,0,0
11,Sữa Tắm Hoa Anh Đào Hữu Cơ Le Petit Marseillais  92% Thiên Nhiên Dịu Nhẹ 650ml 0755,Đã dừng,Dịch vụ Hiển thị Sản phẩm,28227402194,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,01/06/2025 00:00:00,04/05/2026 14:06:41,591,15,2.54%,3,0,20.00%,0.00%,12503.50,0.00,3,0,0,0,37510,0.00,0.00,0.00%,0.00%,-,-,-,0,0
12,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00:00,Không giới hạn,1668,92,5.52%,21,11,22.83%,11.96%,15648.67,29874.73,21,11,2323099,2323099,328622,7.07,7.07,14.15%,14.15%,7391,6,0.08%,0,0
