Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,23854,791,3.32%,66,29,8.34%,3.67%,26024.31,59227.73,71,34,10921873,10015333,1717604,6.36,5.83,15.73%,17.15%,-,-,-,939546,5168000
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,10996,235,2.14%,36,17,15.32%,7.23%,27444.98,58118.78,38,18,7054613,6164433,988019,7.14,6.24,14.01%,16.03%,-,-,-,94650,704000
3,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,7340,195,2.66%,40,22,20.51%,11.28%,25064.76,45572.29,46,28,5820926,5271203,1002590,5.81,5.26,17.22%,19.02%,-,-,-,14481,194000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,4908,127,2.59%,17,9,13.39%,7.09%,24365.08,46022.93,18,10,2255360,1918360,414206,5.45,4.63,18.37%,21.59%,-,-,-,206234,975000
5,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00,Không giới hạn,2823,64,2.27%,6,3,9.38%,4.69%,49922.28,99844.56,6,3,1600870,1338000,299534,5.34,4.47,18.71%,22.39%,-,-,-,103250,451000
6,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00,Không giới hạn,1761,54,3.07%,7,4,12.96%,7.41%,27772.06,48601.1,7,4,1120350,1120350,194404,5.76,5.76,17.35%,17.35%,-,-,-,65395,291000
7,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00,Không giới hạn,2537,113,4.45%,11,6,9.73%,5.31%,44778,82093,14,9,2451675,2262174,492558,4.98,4.59,20.09%,21.77%,12312,21,0.17%,0,0
