Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00:00,Không giới hạn,22581,727,3.22%,43,18,5.91%,2.48%,29382.63,70191.83,43,18,8010000,6300000,1263453,6.34,4.99,15.77%,20.05%,-,-,-,761120,3500000
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,14153,402,2.84%,47,26,11.69%,6.47%,48109.10,86966.46,49,28,11190000,11190000,2261128,4.95,4.95,20.21%,20.21%,-,-,-,849164,4210000
3,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,6008,185,3.08%,18,11,9.73%,5.95%,45623.55,74656.72,21,14,3210000,2940000,821224,3.91,3.58,25.58%,27.93%,-,-,-,94777,630000
4,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00:00,Không giới hạn,5917,179,3.03%,31,19,17.32%,10.61%,30583.45,49899.31,32,20,4200000,4200000,948087,4.43,4.43,22.57%,22.57%,-,-,-,285228,1260000
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00:00,Không giới hạn,3259,69,2.12%,5,4,7.25%,5.80%,63342.59,79178.23,5,4,1320000,1320000,316713,4.17,4.17,23.99%,23.99%,-,-,-,0,0
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00:00,Không giới hạn,2207,70,3.17%,1,1,1.43%,1.43%,259382.27,259382.27,1,1,720000,720000,259382,2.78,2.78,36.03%,36.03%,-,-,-,0,0
