Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00:00,Không giới hạn,38869,934,2.40%,70,32,7.49%,3.43%,49724.57,108772.51,77,38,14734000,11609845,3480720,4.23,3.34,23.62%,29.98%,-,-,-,791387,4570000
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,13441,360,2.68%,53,26,14.72%,7.22%,31449.78,64109.16,56,29,11831000,10148000,1666838,7.10,6.09,14.09%,16.43%,-,-,-,81208,352000
3,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,8730,211,2.42%,20,9,9.48%,4.27%,35004.09,77786.87,27,16,4028980,3098180,700082,5.76,4.43,17.38%,22.60%,-,-,-,35024,194000
4,Sữa Tắm 4 in 1 Nam 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00:00,Không giới hạn,3093,67,2.17%,6,3,8.96%,4.48%,26801.08,53602.16,6,3,582000,582000,160806,3.62,3.62,27.63%,27.63%,-,-,-,45530,194000
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00:00,Không giới hạn,2445,74,3.03%,6,3,8.11%,4.05%,29287.06,58574.12,6,3,1210450,858450,175722,6.89,4.89,14.52%,20.47%,-,-,-,87300,291000
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00:00,Không giới hạn,556,17,3.06%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,42781,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,Sữa Tắm Hoa Anh Đào Hữu Cơ Le Petit Marseillais  92% Thiên Nhiên Dịu Nhẹ 650ml 0755,Đã dừng,Dịch vụ Hiển thị Sản phẩm,28227402194,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,01/06/2025 00:00:00,04/05/2026 14:06:41,1343,26,1.94%,4,1,15.38%,3.85%,27298.44,109193.75,5,1,1026000,337000,109194,9.40,3.09,10.64%,32.40%,-,-,-,0,0
8,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,29680365284,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,916,30,3.28%,3,2,10.00%,6.67%,22633.52,33950.28,3,2,478000,478000,67901,7.04,7.04,14.21%,14.21%,-,-,-,54219,239000
9,Gel Tắm Hữu Cơ BIO 98% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28980146591,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,282,7,2.48%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,8682,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 300ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28830365069,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,239,8,3.35%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,15283,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,Sữa Tắm Dưỡng Ẩm 98% Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương Thơm 400ml [3],Đã dừng,Dịch vụ Hiển thị Sản phẩm,27730151664,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,237,8,3.38%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,22418,0.00,0.00,0.00%,0.00%,-,-,-,0,0
12,Sữa Tắm Thơm Lâu 92% Thiên Nhiên Le Petit Marseillais Dịu Nhẹ Đào Trắng Hữu Cơ Và Xuân Đào Hữu Cơ 250ml 1240,Đã dừng,Dịch vụ Hiển thị Sản phẩm,26278578077,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,02/06/2025 00:00:00,04/05/2026 14:06:41,229,7,3.06%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6673,0.00,0.00,0.00%,0.00%,-,-,-,0,0
13,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00:00,Không giới hạn,2200,143,6.50%,7,4,4.90%,2.80%,71931.29,125879.75,7,4,1283000,1283000,503519,2.55,2.55,39.25%,39.25%,10008,12,0.12%,0,0
