Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,29330,896,3.05%,-,-,56,25,6.25%,2.79%,26019.8,58284.36,59,25,13473000,7827000,1457109,9.25,5.37,10.82%,18.62%,-,-,-,866276,4443000
2,Sản phẩm lẻ,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/06/2026 00:00,Không giới hạn,8583,285,3.32%,-,-,20,12,7.02%,4.21%,40000,66666.67,21,12,4628000,3356000,800000,5.79,4.2,17.29%,23.84%,-,-,-,585189,2529000
3,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,37123,704,1.90%,92,13.07%,86,45,12.22%,6.39%,41167.48,78675.62,92,50,21555000,20075000,3540403,6.09,5.67,16.42%,17.64%,-,-,-,1754422,8335000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,4671,162,3.47%,23,14.20%,16,8,9.88%,4.94%,21875,43750,17,9,1800000,1800000,350000,5.14,5.14,19.44%,19.44%,-,-,-,286000,1200000
5,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,1612,55,3.41%,18,32.73%,7,4,12.73%,7.27%,35714.29,62500,9,6,1230000,1230000,250000,4.92,4.92,20.33%,20.33%,-,-,-,46961,205000
