Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00:00,Không giới hạn,14743,447,3.03%,36,13,8.05%,2.91%,16260.60,45029.37,36,13,4653383,3803203,585382,7.95,6.50,12.58%,15.39%,-,-,-,307015,1536845
2,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,9114,240,2.63%,39,15,16.25%,6.25%,18947.60,49263.77,40,16,4734790,3044540,738956,6.41,4.12,15.61%,24.27%,-,-,-,262674,1164000
3,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,5595,152,2.72%,15,8,9.87%,5.26%,27814.11,52151.46,15,8,2955329,2722394,417212,7.08,6.53,14.12%,15.33%,-,-,-,0,0
4,Sữa Tắm 4 in 1 Nam 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00:00,Không giới hạn,3559,80,2.25%,12,8,15.00%,10.00%,20345.54,30518.31,13,9,1643737,1643737,244147,6.73,6.73,14.85%,14.85%,-,-,-,45559,194000
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00:00,Không giới hạn,1472,50,3.40%,7,2,14.00%,4.00%,14691.94,51421.79,7,2,1092630,560662,102844,10.62,5.45,9.41%,18.34%,-,-,-,0,0
6,Sữa Tắm Hoa Anh Đào Hữu Cơ Le Petit Marseillais  92% Thiên Nhiên Dịu Nhẹ 650ml 0755,Đã dừng,Dịch vụ Hiển thị Sản phẩm,28227402194,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,01/06/2025 00:00:00,04/05/2026 14:06:41,2718,57,2.10%,8,3,14.04%,5.26%,31107.96,82954.55,8,3,1536671,1011000,248864,6.17,4.06,16.19%,24.62%,-,-,-,0,0
7,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,29680365284,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,2642,87,3.29%,3,2,3.45%,2.30%,40059.57,60089.35,3,2,463660,463660,120179,3.86,3.86,25.92%,25.92%,-,-,-,54166,239000
8,Gel Tắm Hữu Cơ BIO 98% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28980146591,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,2018,40,1.98%,1,0,2.50%,0.00%,100000.00,0.00,1,0,0,0,100000,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Sữa Tắm Dưỡng Ẩm 98% Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương Thơm 400ml [3],Đã dừng,Dịch vụ Hiển thị Sản phẩm,27730151664,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,770,14,1.82%,3,1,21.43%,7.14%,18343.50,55030.51,3,1,309000,309000,55031,5.62,5.62,17.81%,17.81%,-,-,-,81154,352000
10,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 300ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28830365069,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,648,20,3.09%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,45427,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,Sữa Tắm Thơm Lâu 92% Thiên Nhiên Le Petit Marseillais Dịu Nhẹ Đào Trắng Hữu Cơ Và Xuân Đào Hữu Cơ 250ml 1240,Đã dừng,Dịch vụ Hiển thị Sản phẩm,26278578077,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,02/06/2025 00:00:00,04/05/2026 14:06:41,348,13,3.74%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,18966,0.00,0.00,0.00%,0.00%,-,-,-,0,0
12,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00:00,Không giới hạn,2263,137,6.05%,12,7,8.76%,5.11%,43430.42,74452.14,12,7,1596278,1274778,521165,3.06,2.45,32.65%,40.88%,9471,17,0.18%,0,0
