Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00:00,Không giới hạn,15000,418,2.79%,32,11,7.66%,2.63%,17714.80,51533.95,32,11,4581829,2950829,566873,8.08,5.21,12.37%,19.21%,-,-,-,232673,1163000
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,8521,208,2.44%,27,11,12.98%,5.29%,24735.31,60713.95,29,12,5305180,4113000,667853,7.94,6.16,12.59%,16.24%,-,-,-,331504,1724000
3,Sữa Tắm 4 in 1 Nam 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00:00,Không giới hạn,7632,143,1.87%,21,13,14.69%,9.09%,25327.28,40913.30,28,20,3772097,3772097,531873,7.09,7.09,14.10%,14.10%,-,-,-,89147,433000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,2116,64,3.02%,2,1,3.12%,1.56%,51061.36,102122.72,2,1,163930,163930,102123,1.61,1.61,62.30%,62.30%,-,-,-,0,0
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00:00,Không giới hạn,2038,51,2.50%,5,3,9.80%,5.88%,28762.40,47937.33,5,3,858450,858450,143812,5.97,5.97,16.75%,16.75%,-,-,-,132364,582000
6,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,29680365284,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,5043,131,2.60%,12,5,9.16%,3.82%,26555.56,63733.35,12,5,1561675,1187830,318667,4.90,3.73,20.41%,26.83%,-,-,-,165344,911000
7,Sữa Tắm Hoa Anh Đào Hữu Cơ Le Petit Marseillais  92% Thiên Nhiên Dịu Nhẹ 650ml 0755,Đã dừng,Dịch vụ Hiển thị Sản phẩm,28227402194,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,01/06/2025 00:00:00,04/05/2026 14:06:41,1968,35,1.78%,3,1,8.57%,2.86%,40826.47,122479.41,3,1,646000,352000,122479,5.27,2.87,18.96%,34.80%,-,-,-,81168,352000
8,Gel Tắm Hữu Cơ BIO 98% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28980146591,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,1592,26,1.63%,10,4,38.46%,15.38%,10000.00,25000.00,11,4,1919295,885197,100000,19.19,8.85,5.21%,11.30%,-,-,-,109358,458021
9,Sữa Tắm Dưỡng Ẩm 98% Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương Thơm 400ml [3],Đã dừng,Dịch vụ Hiển thị Sản phẩm,27730151664,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,971,18,1.85%,4,0,22.22%,0.00%,19200.51,0.00,4,0,602000,0,76802,7.84,0.00,12.76%,0.00%,-,-,-,0,0
10,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 300ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28830365069,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,816,29,3.55%,2,0,6.90%,0.00%,42501.54,0.00,2,0,188180,0,85003,2.21,0.00,45.17%,0.00%,-,-,-,0,0
11,Sữa Tắm Thơm Lâu 92% Thiên Nhiên Le Petit Marseillais Dịu Nhẹ Đào Trắng Hữu Cơ Và Xuân Đào Hữu Cơ 250ml 1240,Đã dừng,Dịch vụ Hiển thị Sản phẩm,26278578077,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,02/06/2025 00:00:00,04/05/2026 14:06:41,409,5,1.22%,1,0,20.00%,0.00%,7122.77,0.00,1,0,0,0,7123,0.00,0.00,0.00%,0.00%,-,-,-,0,0
12,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00:00,Không giới hạn,1870,88,4.71%,12,3,13.64%,3.41%,30647.92,122591.67,15,5,1917940,919110,367775,5.21,2.50,19.18%,40.01%,8303,5,0.06%,0,0
