Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00:00,Không giới hạn,24260,784,3.23%,53,16,6.76%,2.04%,23142.53,76659.62,53,16,6654370,4255120,1226554,5.43,3.47,18.43%,28.83%,-,-,-,250940,1726000
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,14842,327,2.20%,46,26,14.07%,7.95%,36142.31,63944.08,52,32,11524180,10999000,1662546,6.93,6.62,14.43%,15.12%,-,-,-,482469,2816000
3,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,4739,126,2.66%,18,5,14.29%,3.97%,22038.10,79337.16,19,6,1867540,1121360,396686,4.71,2.83,21.24%,35.38%,-,-,-,21716,388000
4,Sữa Tắm 4 in 1 Nam 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00:00,Không giới hạn,4087,120,2.94%,21,12,17.50%,10.00%,25693.84,44964.22,24,15,2862820,2862820,539571,5.31,5.31,18.85%,18.85%,-,-,-,184581,1164000
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00:00,Không giới hạn,2711,54,1.99%,6,3,11.11%,5.56%,33435.85,66871.71,6,3,1061180,829350,200615,5.29,4.13,18.90%,24.19%,-,-,-,0,0
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00:00,Không giới hạn,1464,50,3.42%,5,0,10.00%,0.00%,23299.09,0.00,5,0,575000,0,116495,4.94,0.00,20.26%,0.00%,-,-,-,29740,399000
7,Sữa Tắm Hoa Anh Đào Hữu Cơ Le Petit Marseillais  92% Thiên Nhiên Dịu Nhẹ 650ml 0755,Đã dừng,Dịch vụ Hiển thị Sản phẩm,28227402194,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,01/06/2025 00:00:00,04/05/2026 14:06:41,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00:00,Không giới hạn,2327,141,6.06%,10,4,7.09%,2.84%,51743.10,129357.75,12,6,1590549,1535873,517431,3.07,2.97,32.53%,33.69%,10710,17,0.16%,0,0
