Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00:00,Không giới hạn,23583,800,3.39%,44,21,5.50%,2.62%,26707.62,55958.83,44,21,7430630,5821643,1175135,6.32,4.95,15.81%,20.19%,-,-,-,711520,3217000
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,12590,256,2.03%,32,17,12.50%,6.64%,31017.51,58385.89,34,19,6916122,6513912,992560,6.97,6.56,14.35%,15.24%,-,-,-,427208,1760000
3,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,9934,174,1.75%,28,8,16.09%,4.60%,23473.62,82157.66,32,9,3647508,1722331,657261,5.55,2.62,18.02%,38.16%,-,-,-,174007,776000
4,Sữa Tắm 4 in 1 Nam 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00:00,Không giới hạn,5846,147,2.51%,34,19,23.13%,12.93%,20077.74,35928.59,36,21,4305410,3886370,682643,6.31,5.69,15.86%,17.57%,-,-,-,187014,895000
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00:00,Không giới hạn,2308,55,2.38%,7,3,12.73%,5.45%,29311.76,68394.10,7,3,1081280,849450,205182,5.27,4.14,18.98%,24.15%,-,-,-,23280,291000
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00:00,Không giới hạn,1162,27,2.32%,1,1,3.70%,3.70%,99683.68,99683.68,1,1,451000,451000,99684,4.52,4.52,22.10%,22.10%,-,-,-,63023,451000
7,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00:00,Không giới hạn,2700,153,5.67%,6,3,3.92%,1.96%,89315.33,178630.67,8,3,755180,188180,535892,1.41,0.35,70.96%,284.78%,11094,18,0.16%,0,0
