Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,15758,499,3.17%,29,12,5.81%,2.40%,26993.58,65234.5,29,12,4460000,3942500,782814,5.7,5.04,17.55%,19.86%,-,-,-,497313,2140000
2,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,9271,215,2.32%,38,22,17.67%,10.23%,33028.65,57049.49,48,32,6619000,6619000,1255089,5.27,5.27,18.96%,18.96%,-,-,-,403994,3150000
3,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,8347,182,2.18%,15,7,8.24%,3.85%,42768.66,91647.13,15,7,2943700,2740000,641530,4.59,4.27,21.79%,23.41%,-,-,-,278904,1200000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,4898,141,2.88%,14,6,9.93%,4.26%,23039.4,53758.6,14,6,1619800,1234800,322552,5.02,3.83,19.91%,26.12%,-,-,-,99228,420000
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00,Không giới hạn,1902,56,2.94%,4,3,7.14%,5.36%,44470.86,59294.48,4,3,975000,975000,177883,5.48,5.48,18.24%,18.24%,-,-,-,82500,330000
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00,Không giới hạn,1008,23,2.28%,0,0,0.00%,0.00%,0,0,0,0,0,0,91495,0,0,0.00%,0.00%,-,-,-,0,0
7,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00,Không giới hạn,9082,252,2.77%,6,3,2.38%,1.19%,165906.83,331813.67,6,3,781500,781500,995441,0.79,0.79,127.38%,127.38%,37445,14,0.04%,0,0
