Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,21645,719,3.32%,-,-,40,15,5.56%,2.09%,22992.87,61314.33,41,15,7666000,5098000,919715,8.34,5.54,12.00%,18.04%,-,-,-,641351,2616000
2,Sản phẩm lẻ,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/06/2026 00:00,Không giới hạn,13506,447,3.31%,-,-,25,15,5.59%,3.36%,40000,66666.67,27,17,5578000,4963000,1000000,5.58,4.96,17.93%,20.15%,-,-,-,448895,1948000
3,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,27198,614,2.26%,102,16.61%,76,37,12.38%,6.03%,38847.06,79793.97,83,41,18241000,16154000,2952377,6.18,5.47,16.19%,18.28%,-,-,-,1149323,5721000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,4929,150,3.04%,22,14.67%,16,9,10.67%,6.00%,31250,55555.56,16,9,2005000,1800000,500000,4.01,3.6,24.94%,27.78%,-,-,-,259241,994000
5,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,4235,112,2.64%,15,13.39%,16,9,14.29%,8.04%,31250,55555.56,18,10,2460000,2050000,500000,4.92,4.1,20.33%,24.39%,-,-,-,0,0
