Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00:00,Không giới hạn,26558,746,2.81%,62,24,8.31%,3.22%,21604.65,55812.01,62,24,9267684,6791627,1339488,6.92,5.07,14.45%,19.72%,-,-,-,382163,3000000
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,11104,223,2.01%,38,14,17.04%,6.28%,27211.53,73859.87,40,16,6922000,5473065,1034038,6.69,5.29,14.94%,18.89%,-,-,-,321606,1408000
3,Sữa Tắm 4 in 1 Nam 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00:00,Không giới hạn,4948,102,2.06%,12,7,11.76%,6.86%,26010.57,44589.56,15,10,2073360,1876067,312127,6.64,6.01,15.05%,16.64%,-,-,-,45243,194000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,4143,100,2.41%,13,6,13.00%,6.00%,22789.24,49376.69,14,7,1512872,1322206,296260,5.11,4.46,19.58%,22.41%,-,-,-,138615,546000
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00:00,Không giới hạn,3355,77,2.30%,10,6,12.99%,7.79%,26922.96,44871.59,10,6,1687800,1687800,269230,6.27,6.27,15.95%,15.95%,-,-,-,34920,291000
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00:00,Không giới hạn,585,16,2.74%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,30644,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,Sữa Tắm Dưỡng Ẩm 98% Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương Thơm 400ml [3],Đã dừng,Dịch vụ Hiển thị Sản phẩm,27730151664,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,0,0,0.00%,2,0,0.00%,0.00%,0.00,0.00,2,0,216310,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00:00,Không giới hạn,1764,147,8.33%,9,6,6.12%,4.08%,57241.33,85862.00,9,6,1924000,1924000,515172,3.73,3.73,26.78%,26.78%,8099,23,0.28%,0,0
