Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00:00,Không giới hạn,14375,434,3.02%,26,8,5.99%,1.84%,27729.68,90121.46,26,8,3383461,2429921,720972,4.69,3.37,21.31%,29.67%,-,-,-,372665,1703000
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,19594,394,2.01%,67,35,17.01%,8.88%,31165.25,59659.19,69,37,14136968,12601404,2088072,6.77,6.03,14.77%,16.57%,-,-,-,365035,2112000
3,Sữa Tắm 4 in 1 Nam 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00:00,Không giới hạn,6621,119,1.80%,18,11,15.13%,9.24%,25552.70,41813.51,20,13,2466540,2466540,459949,5.36,5.36,18.65%,18.65%,-,-,-,90772,388000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,6515,156,2.39%,17,10,10.90%,6.41%,29680.04,50456.07,19,12,2483439,2295259,504561,4.92,4.55,20.32%,21.98%,-,-,-,78679,388000
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00:00,Không giới hạn,4569,91,1.99%,8,3,8.79%,3.30%,41324.87,110199.65,8,3,1039842,851662,330599,3.15,2.58,31.79%,38.82%,-,-,-,66033,291000
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00:00,Không giới hạn,1204,14,1.16%,1,1,7.14%,7.14%,108495.44,108495.44,1,1,436000,436000,108495,4.02,4.02,24.88%,24.88%,-,-,-,0,0
7,Sữa Tắm Dưỡng Ẩm 98% Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương Thơm 400ml [3],Đã dừng,Dịch vụ Hiển thị Sản phẩm,27730151664,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Gel Tắm Hữu Cơ BIO 98% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28980146591,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,29680365284,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Sữa Tắm Hoa Anh Đào Hữu Cơ Le Petit Marseillais  92% Thiên Nhiên Dịu Nhẹ 650ml 0755,Đã dừng,Dịch vụ Hiển thị Sản phẩm,28227402194,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,01/06/2025 00:00:00,04/05/2026 14:06:41,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00:00,Không giới hạn,2280,170,7.46%,9,4,5.29%,2.35%,61194.67,137688.00,9,4,1342160,1072360,550752,2.44,1.95,41.03%,51.36%,9600,17,0.18%,0,0
