Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,23116,525,2.27%,-,-,52,21,9.90%,4.00%,28128.85,69652.4,52,21,8752575,7387078,1462700,5.98,5.05,16.71%,19.80%,-,-,-,1279688,6005000
2,Sản phẩm lẻ,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/06/2026 00:00,Không giới hạn,12876,364,2.83%,-,-,19,12,5.22%,3.30%,51507.93,81554.22,19,12,3789725,3789725,978651,3.87,3.87,25.82%,25.82%,-,-,-,595341,2760000
3,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,21264,385,1.81%,49,12.73%,44,21,11.43%,5.45%,46710.34,97869.27,47,24,10367700,9380000,2055255,5.04,4.56,19.82%,21.91%,-,-,-,551204,2590000
4,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,8856,219,2.47%,30,13.70%,43,20,19.63%,9.13%,23255.81,50000,45,22,4469500,4469500,1000000,4.47,4.47,22.37%,22.37%,-,-,-,378923,2045000
5,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,8744,208,2.38%,24,11.54%,29,20,13.94%,9.62%,37101.48,53797.14,29,20,4073200,4073200,1075943,3.79,3.79,26.42%,26.42%,-,-,-,290807,1455000
