Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00,Không giới hạn,26972,867,3.21%,55,23,6.34%,2.65%,24207.12,57886.6,55,23,8147988,6766377,1331392,6.12,5.08,16.34%,19.68%,-,-,-,243987,1114000
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,7731,195,2.52%,29,12,14.87%,6.15%,21573.46,52135.87,29,12,4946425,4083595,625630,7.91,6.53,12.65%,15.32%,-,-,-,94531,546000
3,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00,Không giới hạn,3418,125,3.66%,11,7,8.80%,5.60%,27587.64,43352,12,8,1528180,1528180,303464,5.04,5.04,19.86%,19.86%,-,-,-,123507,582000
4,Sữa Tắm Nam 4 in 1 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00,Không giới hạn,2749,84,3.06%,10,5,11.90%,5.95%,20437.9,40875.8,10,5,903110,903110,204379,4.42,4.42,22.63%,22.63%,-,-,-,14462,194000
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00,Không giới hạn,2297,68,2.96%,7,4,10.29%,5.88%,35904.49,62832.86,8,5,1425450,1425450,251331,5.67,5.67,17.63%,17.63%,-,-,-,130828,582000
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00,Không giới hạn,1915,51,2.66%,3,1,5.88%,1.96%,51877.86,155633.59,3,1,799752,579752,155634,5.14,3.73,19.46%,26.84%,-,-,-,0,0
7,Quảng cáo Shop,Đang diễn ra,Dịch vụ Hiển thị Shop,-,Tùy chỉnh,Giá thầu Thủ công,-,27/03/2025 00:00,Không giới hạn,2775,128,4.61%,6,4,4.69%,3.12%,87437.67,131156.5,7,5,1235215,1235215,524626,2.35,2.35,42.47%,42.47%,11659,19,0.16%,0,0
